match,start_time,market_name,home_team,away_team,team,line,over_price,under_price,margin,agency
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Everton,Brighton & Hove Albion,Everton,0.5,1.26,3.6,1.071,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Everton,Brighton & Hove Albion,Everton,1.5,2.3,1.58,1.068,TAB
Everton v Brighton & Hove Albion,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Everton,Brighton & Hove Albion,Everton,2.5,5,1.15,1.07,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Newcastle United,Southampton,Newcastle United,1.5,1.28,3.5,1.067,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Newcastle United,Southampton,Newcastle United,2.5,1.95,1.8,1.068,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Newcastle United,Southampton,Newcastle United,3.5,3.5,1.28,1.067,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Newcastle United,Southampton,Southampton,0.5,1.55,2.35,1.071,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Newcastle United,Southampton,Southampton,1.5,3.6,1.26,1.071,TAB
Newcastle United v Southampton,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Newcastle United,Southampton,Southampton,2.5,10,1.03,1.071,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Nottingham Forest,Bournemouth,Bournemouth,0.5,1.3,3.3,1.072,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Nottingham Forest,Bournemouth,Bournemouth,1.5,2.4,1.52,1.075,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Nottingham Forest,Bournemouth,Bournemouth,2.5,5.5,1.13,1.067,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Nottingham Forest,Bournemouth,Nottingham Forest,0.5,1.24,3.8,1.07,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Nottingham Forest,Bournemouth,Nottingham Forest,1.5,2.15,1.65,1.071,TAB
Nottingham Forest v Bournemouth,2024-08-17T14:00:00.000Z,Team Total Goals O/U,Nottingham Forest,Bournemouth,Nottingham Forest,2.5,4.8,1.16,1.07,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Team Total Goals O/U,West Ham United,Aston Villa,Aston Villa,0.5,1.2,4.2,1.071,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Team Total Goals O/U,West Ham United,Aston Villa,Aston Villa,1.5,2,1.75,1.071,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Team Total Goals O/U,West Ham United,Aston Villa,Aston Villa,2.5,4.2,1.2,1.071,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Team Total Goals O/U,West Ham United,Aston Villa,West Ham United,0.5,1.18,4.5,1.07,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Team Total Goals O/U,West Ham United,Aston Villa,West Ham United,1.5,1.87,1.87,1.07,TAB
West Ham United v Aston Villa,2024-08-17T16:30:00.000Z,Team Total Goals O/U,West Ham United,Aston Villa,West Ham United,2.5,3.8,1.24,1.07,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Team Total Goals O/U,Brentford,Crystal Palace,Brentford,0.5,1.24,3.8,1.07,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Team Total Goals O/U,Brentford,Crystal Palace,Brentford,1.5,2.15,1.65,1.071,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Team Total Goals O/U,Brentford,Crystal Palace,Brentford,2.5,4.8,1.16,1.07,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Team Total Goals O/U,Brentford,Crystal Palace,Crystal Palace,0.5,1.3,3.3,1.072,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Team Total Goals O/U,Brentford,Crystal Palace,Crystal Palace,1.5,2.4,1.52,1.075,TAB
Brentford v Crystal Palace,2024-08-18T13:00:00.000Z,Team Total Goals O/U,Brentford,Crystal Palace,Crystal Palace,2.5,5.5,1.13,1.067,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Team Total Goals O/U,Chelsea,Manchester City,Chelsea,0.5,1.32,3.2,1.07,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Team Total Goals O/U,Chelsea,Manchester City,Chelsea,1.5,2.5,1.5,1.067,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Team Total Goals O/U,Chelsea,Manchester City,Chelsea,2.5,6,1.11,1.068,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Team Total Goals O/U,Chelsea,Manchester City,Manchester City,0.5,1.11,6,1.068,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Team Total Goals O/U,Chelsea,Manchester City,Manchester City,1.5,1.62,2.2,1.072,TAB
Chelsea v Manchester City,2024-08-18T15:30:00.000Z,Team Total Goals O/U,Chelsea,Manchester City,Manchester City,2.5,2.9,1.38,1.069,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Team Total Goals O/U,Leicester City,Tottenham Hotspur,Leicester City,0.5,1.4,2.8,1.071,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Team Total Goals O/U,Leicester City,Tottenham Hotspur,Leicester City,1.5,2.9,1.38,1.069,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Team Total Goals O/U,Leicester City,Tottenham Hotspur,Leicester City,2.5,7.5,1.07,1.068,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Team Total Goals O/U,Leicester City,Tottenham Hotspur,Tottenham Hotspur,1.5,1.46,2.6,1.07,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Team Total Goals O/U,Leicester City,Tottenham Hotspur,Tottenham Hotspur,2.5,2.5,1.5,1.067,TAB
Leicester City v Tottenham Hotspur,2024-08-19T19:00:00.000Z,Team Total Goals O/U,Leicester City,Tottenham Hotspur,Tottenham Hotspur,3.5,5,1.15,1.07,TAB
