match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency
Everton v Brentford,Everton,Brentford,Player Goals,Merlin Rohl,NA,NA,2.5,201,Neds
Everton v Brentford,Everton,Brentford,Player Goals,Gustavo Gomes,NA,NA,2.5,151,Neds
Everton v Brentford,Everton,Brentford,Player Goals,Kevin Schade,Brentford,Everton,2.5,126,Neds
Everton v Brentford,Everton,Brentford,Player Goals,Beto Betuncal,NA,NA,2.5,91,Neds
Everton v Brentford,Everton,Brentford,Player Goals,Thierno Barry,Everton,Brentford,2.5,91,Neds
Everton v Brentford,Everton,Brentford,Player Goals,James Garner,Everton,Brentford,2.5,201,Neds
Everton v Brentford,Everton,Brentford,Player Goals,Carlos Alcaraz,Everton,Brentford,2.5,201,Neds
Everton v Brentford,Everton,Brentford,Player Goals,Kiernan Dewsbury Hall,NA,NA,2.5,201,Neds
Everton v Brentford,Everton,Brentford,Player Goals,Igor Thiago,Brentford,Everton,2.5,46,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Fernando Lopez,NA,NA,0.5,4.6,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Freddie Potts,West Ham United,Wolverhampton Wanderers,0.5,13,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Yerson Mosquera,Wolverhampton Wanderers,West Ham United,0.5,13,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Jean-Clair Todibo,West Ham United,Wolverhampton Wanderers,0.5,29,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Mohamadou Kante,NA,NA,0.5,9.5,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Temple Ojinnaka,NA,NA,0.5,15,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Soungoutou Magassa,NA,NA,0.5,13,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Andy Irving,NA,NA,0.5,9,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Kyle Walker-Peters,West Ham United,Wolverhampton Wanderers,0.5,13,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,No Goalscorer,NA,NA,0.5,8.5,Neds
Wolverhampton Wanderers v West Ham United,Wolverhampton Wanderers,West Ham United,Player Goals,Jhon Arias,Wolverhampton Wanderers,West Ham United,0.5,4.8,Neds
