match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,George Hemmings,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626653
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ian Maatsen,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626655
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Jadon Sancho,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626656
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Lamare Bogarde,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626657
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Lucas Digne,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626659
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Matty Cash,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626660
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Mohamed Kone,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626661
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Pau Torres,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626664
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ross Barkley,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626665
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Tyrone Mings,Aston Villa,Leeds United,2.5,251,Sportsbet,49,289,15192634,557277963,2659626667
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Victor Lindelof,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626668
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Dominic Calvert-Lewin,NA,NA,2.5,101,Sportsbet,49,289,15192634,557277963,2659626673
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Lukas Nmecha,NA,NA,2.5,201,Sportsbet,49,289,15192634,557277963,2659626683
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Joel Piroe,NA,NA,2.5,226,Sportsbet,49,289,15192634,557277963,2659626681
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Anton Stach,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626669
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ao Tanaka,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626670
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Brenden Aaronson,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626671
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Daniel James,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626672
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ethan Ampadu,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626674
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Facundo Buonanotte,Chelsea,Aston Villa,2.5,251,Sportsbet,49,289,15192634,557277963,2659626675
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Gabriel Gudmundsson,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626676
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Ilia Gruev,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626677
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Jaka Bijol,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626678
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,James Justin,Leicester City,Aston Villa,2.5,251,Sportsbet,49,289,15192634,557277963,2659626679
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Jayden Bogle,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626680
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Joe Rodon,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626682
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Noah Okafor,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626684
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Pascal Struijk,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626685
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Sam Byram,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626686
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Sean Longstaff,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626687
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Sebastiaan Bornauw,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626688
Aston Villa v Leeds United,Aston Villa,Leeds United,Player Goals,Wilfried Gnonto,NA,NA,2.5,251,Sportsbet,49,289,15192634,557277963,2659626689
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Igor Thiago,Brentford,Brighton & Hove Albion,0.5,2,Sportsbet,49,289,15192639,557277991,2659627618
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Kevin Schade,Brentford,Brighton & Hove Albion,0.5,2.8,Sportsbet,49,289,15192639,557277991,2659627622
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Dango Ouattara,Brentford,Brighton & Hove Albion,0.5,3.3,Sportsbet,49,289,15192639,557277991,2659627616
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Kaye Furo,Brentford,Brighton & Hove Albion,0.5,3.2,Sportsbet,49,289,15192639,557277991,2659627620
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Keane Lewis-Potter,Brentford,Brighton & Hove Albion,0.5,3.6,Sportsbet,49,289,15192639,557277991,2659627621
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Reiss Nelson,Brentford,Brighton & Hove Albion,0.5,3.75,Sportsbet,49,289,15192639,557277991,2659627629
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Romelle Donovan,Brentford,Brighton & Hove Albion,0.5,3.5,Sportsbet,49,289,15192639,557277991,2659627631
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Luka Bentt,NA,NA,0.5,4.5,Sportsbet,49,289,15192639,557277991,2659627624
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Mathias Jensen,Brentford,Brighton & Hove Albion,0.5,5.5,Sportsbet,49,289,15192639,557277991,2659627625
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Mikkel Damsgaard,Brentford,Brighton & Hove Albion,0.5,5.5,Sportsbet,49,289,15192639,557277991,2659627627
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Vitaly Janelt,Brentford,Brighton & Hove Albion,0.5,8.5,Sportsbet,49,289,15192639,557277991,2659627633
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Sepp van den Berg,Brentford,Brighton & Hove Albion,0.5,9.5,Sportsbet,49,289,15192639,557277991,2659627632
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Yegor Yarmolyuk,Brentford,Brighton & Hove Albion,0.5,9.5,Sportsbet,49,289,15192639,557277991,2659627634
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Aaron Hickey,Brentford,Brighton & Hove Albion,0.5,11,Sportsbet,49,289,15192639,557277991,2659627615
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Nathan Collins,Brentford,Brighton & Hove Albion,0.5,11,Sportsbet,49,289,15192639,557277991,2659627628
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Ethan Pinnock,Brentford,Brighton & Hove Albion,0.5,12,Sportsbet,49,289,15192639,557277991,2659627617
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Jordan Henderson,Brentford,Brighton & Hove Albion,0.5,12,Sportsbet,49,289,15192639,557277991,2659627619
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Kristoffer Ajer,Brentford,Brighton & Hove Albion,0.5,13,Sportsbet,49,289,15192639,557277991,2659627623
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Rico Henry,Brentford,Brighton & Hove Albion,0.5,14,Sportsbet,49,289,15192639,557277991,2659627630
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Michael Kayode,Brentford,Brighton & Hove Albion,0.5,15,Sportsbet,49,289,15192639,557277991,2659627626
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Danny Welbeck,Brighton & Hove Albion,Brentford,0.5,2.88,Sportsbet,49,289,15192639,557277991,2659627637
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Charalampos Kostoulas,Brighton & Hove Albion,Brentford,0.5,4,Sportsbet,49,289,15192639,557277991,2659627636
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Georginio Rutter,Brighton & Hove Albion,Brentford,0.5,4.5,Sportsbet,49,289,15192639,557277991,2659627640
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Diego Gomez,NA,NA,0.5,5,Sportsbet,49,289,15192639,557277991,2659627638
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Harry Howell,Brighton & Hove Albion,Brentford,0.5,5.5,Sportsbet,49,289,15192639,557277991,2659627641
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Kaoru Mitoma,Brighton & Hove Albion,Brentford,0.5,5,Sportsbet,49,289,15192639,557277991,2659627787
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Matt O'Riley,Brighton & Hove Albion,Brentford,0.5,5,Sportsbet,49,289,15192639,557277991,2659627790
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Yankuba Minteh,Brighton & Hove Albion,Brentford,0.5,5,Sportsbet,49,289,15192639,557277991,2659627795
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Nehemiah Oriola,Brighton & Hove Albion,Brentford,0.5,6,Sportsbet,49,289,15192639,557277991,2659627792
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Maxim De Cuyper,Brighton & Hove Albion,Brentford,0.5,7,Sportsbet,49,289,15192639,557277991,2659627791
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Pascal Gross,NA,NA,0.5,7,Sportsbet,49,289,15192639,557277991,2659627794
Brentford v Brighton & Hove Albion,Brentford,Brighton & Hove Albion,Player Goals,Jack Hinshelwood,Brighton & Hove Albion,Brentford,0.5,8.5,Sportsbet,49,289,15192639,557277991,2659627643
