match,player_name,line,over_price,market_name,agency,under_price,player_team
Brentford v Nottingham Forest,Mathias Jensen,2.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Mathias Jensen,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Mathias Jensen,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Michael Kayode,0.5,3.75,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Michael Kayode,1.5,21,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Michael Kayode,2.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Michael Kayode,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Michael Kayode,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Mikkel Damsgaard,0.5,1.8,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Mikkel Damsgaard,1.5,5,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Mikkel Damsgaard,2.5,17,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Mikkel Damsgaard,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Mikkel Damsgaard,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Morgan Gibbs-White,0.5,2.1,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Morgan Gibbs-White,1.5,7,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Morgan Gibbs-White,2.5,21,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Morgan Gibbs-White,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Morgan Gibbs-White,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Murillo dos Santos,0.5,5,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Murillo dos Santos,1.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Murillo dos Santos,2.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Murillo dos Santos,3.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Murillo dos Santos,4.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Nathan Collins,0.5,3.75,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Nathan Collins,1.5,19,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Nathan Collins,2.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Nathan Collins,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Nathan Collins,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Neco Williams,0.5,3.4,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Neco Williams,1.5,17,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Neco Williams,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Neco Williams,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Neco Williams,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nicolás Domínguez,0.5,3.4,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nicolás Domínguez,1.5,17,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nicolás Domínguez,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nicolás Domínguez,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nicolás Domínguez,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nicolo Savona,0.5,5.5,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Nicolo Savona,1.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Nicolo Savona,2.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Nicolo Savona,3.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Nicolo Savona,4.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Nikola Milenković,0.5,5.5,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nikola Milenković,1.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nikola Milenković,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nikola Milenković,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Nikola Milenković,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ola Aina,0.5,6.5,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ola Aina,1.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ola Aina,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ola Aina,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ola Aina,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Oleksandr Zinchenko,0.5,3.4,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Oleksandr Zinchenko,1.5,17,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Oleksandr Zinchenko,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Oleksandr Zinchenko,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Oleksandr Zinchenko,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Omari Giraud-Hutchinson,0.5,2.5,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Omari Giraud-Hutchinson,1.5,10,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Omari Giraud-Hutchinson,2.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Omari Giraud-Hutchinson,3.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Omari Giraud-Hutchinson,4.5,NA,Player Shots On Target,Bet365,NA,NA
Brentford v Nottingham Forest,Reiss Nelson,0.5,1.4,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Reiss Nelson,1.5,3,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Reiss Nelson,2.5,8,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Reiss Nelson,3.5,21,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Reiss Nelson,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Rico Henry,0.5,3.75,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Rico Henry,1.5,21,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Rico Henry,2.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Rico Henry,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Rico Henry,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Romelle Donovan,0.5,1.53,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Romelle Donovan,1.5,3.5,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Romelle Donovan,2.5,11,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Romelle Donovan,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Romelle Donovan,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Ryan Yates,0.5,3.5,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ryan Yates,1.5,19,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ryan Yates,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ryan Yates,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Ryan Yates,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Sepp van den Berg,0.5,3.75,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Sepp van den Berg,1.5,19,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Sepp van den Berg,2.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Sepp van den Berg,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Sepp van den Berg,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Taiwo Awoniyi,0.5,1.57,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Taiwo Awoniyi,1.5,3.75,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Taiwo Awoniyi,2.5,13,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Taiwo Awoniyi,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Taiwo Awoniyi,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Vitaly Janelt,0.5,3.25,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Vitaly Janelt,1.5,17,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Vitaly Janelt,2.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Vitaly Janelt,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Vitaly Janelt,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Willy Boly,0.5,5.5,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Willy Boly,1.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Willy Boly,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Willy Boly,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Willy Boly,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Yegor Yarmolyuk,0.5,2.62,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Yegor Yarmolyuk,1.5,11,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Yegor Yarmolyuk,2.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Yegor Yarmolyuk,3.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Yegor Yarmolyuk,4.5,NA,Player Shots On Target,Bet365,NA,Brentford
Brentford v Nottingham Forest,Zach Abbott,0.5,6.5,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Zach Abbott,1.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Zach Abbott,2.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Zach Abbott,3.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Brentford v Nottingham Forest,Zach Abbott,4.5,NA,Player Shots On Target,Bet365,NA,Nottingham Forest
Crystal Palace v Chelsea,Adam Wharton,0.5,3.4,Player Shots On Target,Bet365,NA,Crystal Palace
Crystal Palace v Chelsea,Adam Wharton,1.5,17,Player Shots On Target,Bet365,NA,Crystal Palace
Crystal Palace v Chelsea,Adam Wharton,2.5,NA,Player Shots On Target,Bet365,NA,Crystal Palace
Crystal Palace v Chelsea,Adam Wharton,3.5,NA,Player Shots On Target,Bet365,NA,Crystal Palace
Crystal Palace v Chelsea,Alejandro Garnacho,0.5,1.61,Player Shots On Target,Bet365,2.2,Chelsea
Crystal Palace v Chelsea,Alejandro Garnacho,0.5,1.61,Player Shots On Target,Bet365,NA,Chelsea
Crystal Palace v Chelsea,Alejandro Garnacho,1.5,4,Player Shots On Target,Bet365,NA,Chelsea
Crystal Palace v Chelsea,Alejandro Garnacho,2.5,13,Player Shots On Target,Bet365,NA,Chelsea
Crystal Palace v Chelsea,Alejandro Garnacho,3.5,NA,Player Shots On Target,Bet365,NA,Chelsea
Crystal Palace v Chelsea,Andrey Santos,0.5,2.1,Player Shots On Target,Bet365,NA,Chelsea
Crystal Palace v Chelsea,Andrey Santos,1.5,7,Player Shots On Target,Bet365,NA,Chelsea
Crystal Palace v Chelsea,Andrey Santos,2.5,21,Player Shots On Target,Bet365,NA,Chelsea
Crystal Palace v Chelsea,Andrey Santos,3.5,NA,Player Shots On Target,Bet365,NA,Chelsea
Crystal Palace v Chelsea,Ben Casey,0.5,1.83,Player Shots On Target,Bet365,NA,Crystal Palace
Crystal Palace v Chelsea,Ben Casey,1.5,6,Player Shots On Target,Bet365,NA,Crystal Palace
Crystal Palace v Chelsea,Ben Casey,2.5,21,Player Shots On Target,Bet365,NA,Crystal Palace
