match,home_team,away_team,market_name,line,over_price,under_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_under
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Match Goals,4.5,5.2,1.14,Sportsbet,49,289,12931196,462080680,2235069611,2235069610
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Match Goals,5.5,9.5,1.04,Sportsbet,49,289,12931196,462080682,2235069615,2235069614
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Match Goals,6.5,14,1.01,Sportsbet,49,289,12931196,462080684,2235069619,2235069618
Arsenal v Nottingham Forest,Arsenal,Nottingham Forest,Match Goals,7.5,67,1.002,Sportsbet,49,289,12931196,462080739,2235069519,2235069518
Fulham v Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Match Goals,0.5,1.02,12.5,Sportsbet,49,289,12931197,462081109,2235071174,2235071173
Fulham v Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Match Goals,1.5,1.2,4.25,Sportsbet,49,289,12931197,462081073,2235071182,2235071181
Fulham v Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Match Goals,2.5,1.7,2.08,Sportsbet,49,289,12931197,462081081,2235071198,2235071197
Fulham v Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Match Goals,3.5,2.75,1.41,Sportsbet,49,289,12931197,462081086,2235071208,2235071207
Fulham v Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Match Goals,4.5,5.2,1.14,Sportsbet,49,289,12931197,462081090,2235070959,2235070958
Fulham v Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Match Goals,5.5,9.5,1.04,Sportsbet,49,289,12931197,462081166,2235070972,2235070971
Fulham v Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Match Goals,6.5,14,1.01,Sportsbet,49,289,12931197,462081169,2235070979,2235070978
Fulham v Wolverhampton Wanderers,Fulham,Wolverhampton Wanderers,Match Goals,7.5,51,1.002,Sportsbet,49,289,12931197,462081155,2235070891,2235070890
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Match Goals,0.5,1.02,15,Sportsbet,49,289,12931213,462082781,2235077655,2235077654
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Match Goals,1.5,1.14,5.2,Sportsbet,49,289,12931213,462082783,2235077659,2235077658
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Match Goals,3.5,2.3,1.57,Sportsbet,49,289,12931213,462082906,2235077679,2235077678
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Match Goals,2.5,1.53,2.41,Sportsbet,49,289,12931213,462082904,2235077675,2235077674
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Match Goals,4.5,4.25,1.2,Sportsbet,49,289,12931213,462082908,2235077683,2235077682
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Match Goals,5.5,7,1.07,Sportsbet,49,289,12931213,462082910,2235077687,2235077686
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Match Goals,6.5,12,1.02,Sportsbet,49,289,12931213,462082912,2235077691,2235077690
Bournemouth v Brighton & Hove Albion,Bournemouth,Brighton & Hove Albion,Match Goals,7.5,34,1.004,Sportsbet,49,289,12931213,462082894,2235077597,2235077596
Aston Villa v Crystal Palace,Aston Villa,Crystal Palace,Match Goals,0.5,1.02,12.25,Sportsbet,49,289,12931215,462083084,2235078579,2235078578
Aston Villa v Crystal Palace,Aston Villa,Crystal Palace,Match Goals,1.5,1.2,4.25,Sportsbet,49,289,12931215,462083086,2235078583,2235078582
Aston Villa v Crystal Palace,Aston Villa,Crystal Palace,Match Goals,2.5,1.69,2.09,Sportsbet,49,289,12931215,462083054,2235078599,2235078598
Aston Villa v Crystal Palace,Aston Villa,Crystal Palace,Match Goals,3.5,2.75,1.41,Sportsbet,49,289,12931215,462083056,2235078603,2235078602
Aston Villa v Crystal Palace,Aston Villa,Crystal Palace,Match Goals,4.5,5.2,1.14,Sportsbet,49,289,12931215,462083058,2235078607,2235078606
Aston Villa v Crystal Palace,Aston Villa,Crystal Palace,Match Goals,5.5,9.5,1.04,Sportsbet,49,289,12931215,462083060,2235078611,2235078610
Aston Villa v Crystal Palace,Aston Villa,Crystal Palace,Match Goals,6.5,14,1.01,Sportsbet,49,289,12931215,462083062,2235078615,2235078614
Aston Villa v Crystal Palace,Aston Villa,Crystal Palace,Match Goals,7.5,51,1.002,Sportsbet,49,289,12931215,462083137,2235079220,2235079219
Manchester City v Tottenham Hotspur,Manchester City,Tottenham Hotspur,Match Goals,0.5,1.01,23,Sportsbet,49,289,12931200,462081981,2235074326,2235074325
