match,start_time,market_name,home_team,away_team,player_name,player_team,opposition_team,line,over_price,agency
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Ra<c3><ba>l Jim<c3><a9>nez,NA,NA,2.5,151,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Reece James,Chelsea,Fulham,0.5,6.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Reece James,Chelsea,Fulham,1.5,67,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Reece James,Chelsea,Fulham,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Rodrigo Muniz,Fulham,Chelsea,0.5,3.9,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Rodrigo Muniz,Fulham,Chelsea,1.5,17,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Rodrigo Muniz,Fulham,Chelsea,2.5,151,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Ryan Sessegnon,Fulham,Chelsea,0.5,6,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Ryan Sessegnon,Fulham,Chelsea,1.5,51,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Ryan Sessegnon,Fulham,Chelsea,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Sa<c5><a1>a Luki<c4><87>,NA,NA,0.5,9,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Sa<c5><a1>a Luki<c4><87>,NA,NA,1.5,101,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Sa<c5><a1>a Luki<c4><87>,NA,NA,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Sander Berge,Fulham,Chelsea,0.5,9,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Sander Berge,Fulham,Chelsea,1.5,101,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Sander Berge,Fulham,Chelsea,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Timothy Castagne,Fulham,Chelsea,0.5,17,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Timothy Castagne,Fulham,Chelsea,1.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Timothy Castagne,Fulham,Chelsea,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Tom Cairney,Fulham,Chelsea,0.5,8,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Tom Cairney,Fulham,Chelsea,1.5,101,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Tom Cairney,Fulham,Chelsea,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Tosin Adarabioyo,Chelsea,Fulham,0.5,8.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Tosin Adarabioyo,Chelsea,Fulham,1.5,101,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Tosin Adarabioyo,Chelsea,Fulham,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Trevoh Chalobah,Chelsea,Fulham,0.5,8.5,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Trevoh Chalobah,Chelsea,Fulham,1.5,101,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Trevoh Chalobah,Chelsea,Fulham,2.5,401,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Wesley Fofana,Chelsea,Fulham,0.5,13,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Wesley Fofana,Chelsea,Fulham,1.5,201,TAB
Chelsea v Fulham,2025-08-30T11:30:00.000Z,Player Goals,Chelsea,Fulham,Wesley Fofana,Chelsea,Fulham,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Aaron Ramsey,NA,NA,0.5,6.5,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Aaron Ramsey,NA,NA,1.5,67,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Aaron Ramsey,NA,NA,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Amad Diallo,Manchester United,Burnley,0.5,2.4,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Amad Diallo,Manchester United,Burnley,1.5,9,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Amad Diallo,Manchester United,Burnley,2.5,34,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Armando Broja,NA,NA,0.5,4.25,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Armando Broja,NA,NA,1.5,26,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Armando Broja,NA,NA,2.5,201,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Ayden Heaven,Manchester United,Burnley,0.5,8.5,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Ayden Heaven,Manchester United,Burnley,1.5,101,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Ayden Heaven,Manchester United,Burnley,2.5,401,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Benjamin Sesko,Manchester United,Burnley,0.5,2,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Benjamin Sesko,Manchester United,Burnley,1.5,6.5,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Benjamin Sesko,Manchester United,Burnley,2.5,21,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Bruno Fernandes,Manchester United,Burnley,0.5,2.15,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Bruno Fernandes,Manchester United,Burnley,1.5,7.5,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Bruno Fernandes,Manchester United,Burnley,2.5,26,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Bryan Mbeumo,Manchester United,Burnley,0.5,2.1,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Bryan Mbeumo,Manchester United,Burnley,1.5,7,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Bryan Mbeumo,Manchester United,Burnley,2.5,26,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Casemiro,Manchester United,Burnley,0.5,4,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Casemiro,Manchester United,Burnley,1.5,21,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Casemiro,Manchester United,Burnley,2.5,151,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Diogo Dalot,Manchester United,Burnley,0.5,7,TAB
Manchester United v Burnley,2025-08-30T14:00:00.000Z,Player Goals,Manchester United,Burnley,Diogo Dalot,Manchester United,Burnley,1.5,81,TAB
